|       name |               hmsdms |                 ra |                  dec | label |
| G0808-2425 | 08h08m08s -24d25m31s | 122.03333333333332 |   -24.42527777777778 |     g |
| T0820-2425 | 08h20m20s -24d25m31s | 125.08333333333334 |   -24.42527777777778 |     t |
| T0832-2425 | 08h32m32s -24d25m31s |  128.1333333333333 |   -24.42527777777778 |     t |
| T0844-2425 | 08h44m44s -24d25m31s |  131.1833333333333 |   -24.42527777777778 |     t |
| T0856-2425 | 08h56m56s -24d25m31s | 134.23333333333332 |   -24.42527777777778 |     t |
| T0909-2425 | 09h09m09s -24d25m31s |           137.2875 |   -24.42527777777778 |     t |
| T0921-2425 | 09h21m21s -24d25m31s | 140.33749999999998 |   -24.42527777777778 |     t |
| T0933-2425 | 09h33m33s -24d25m31s |           143.3875 |   -24.42527777777778 |     t |
| T0945-2425 | 09h45m45s -24d25m31s | 146.43749999999997 |   -24.42527777777778 |     t |
| T0957-2425 | 09h57m57s -24d25m31s | 149.48749999999998 |   -24.42527777777778 |     t |
| T1010-2425 | 10h10m10s -24d25m31s | 152.54166666666666 |   -24.42527777777778 |     t |
| T1022-2425 | 10h22m22s -24d25m31s | 155.59166666666664 |   -24.42527777777778 |     t |
| T1034-2425 | 10h34m34s -24d25m31s | 158.64166666666665 |   -24.42527777777778 |     t |
| T1046-2425 | 10h46m46s -24d25m31s | 161.69166666666666 |   -24.42527777777778 |     t |
